index,economic,barracks,military,aggression,attack,defense,strategy,description
1,2,7.0,Heavy and Ranged,False,,3.0,"## Strategy
Economic Feature: 2
Barracks Feature: resource >= 7
Military Feature: Heavy and Ranged
Aggression Feature: False
Attack Feature: None
Defense Feature: 3
",
2,1,9.0,Worker and Heavy and Ranged,False,,1.0,"## Strategy
Economic Feature: 1
Barracks Feature: resource >= 9
Military Feature: Worker and Heavy and Ranged
Aggression Feature: False
Attack Feature: None
Defense Feature: 1
",
3,1,7.0,Ranged,True,Building,,"## Strategy
Economic Feature: 1
Barracks Feature: resource >= 7
Military Feature: Ranged
Aggression Feature: True
Attack Feature: Building
Defense Feature: None
",
4,1,10.0,Heavy and Light and Ranged,False,,1.0,"## Strategy
Economic Feature: 1
Barracks Feature: resource >= 10
Military Feature: Heavy and Light and Ranged
Aggression Feature: False
Attack Feature: None
Defense Feature: 1
",
5,2,5.0,Heavy and Ranged,False,,3.0,"## Strategy
Economic Feature: 2
Barracks Feature: resource >= 5
Military Feature: Heavy and Ranged
Aggression Feature: False
Attack Feature: None
Defense Feature: 3
",
6,1,7.0,Worker and Light,False,,1.0,"## Strategy
Economic Feature: 1
Barracks Feature: resource >= 7
Military Feature: Worker and Light
Aggression Feature: False
Attack Feature: None
Defense Feature: 1
",
7,1,10.0,Worker and Heavy,True,Building,,"## Strategy
Economic Feature: 1
Barracks Feature: resource >= 10
Military Feature: Worker and Heavy
Aggression Feature: True
Attack Feature: Building
Defense Feature: None
",
8,1,7.0,Worker and Ranged,False,,4.0,"## Strategy
Economic Feature: 1
Barracks Feature: resource >= 7
Military Feature: Worker and Ranged
Aggression Feature: False
Attack Feature: None
Defense Feature: 4
",
9,1,10.0,Heavy and Ranged,False,,2.0,"## Strategy
Economic Feature: 1
Barracks Feature: resource >= 10
Military Feature: Heavy and Ranged
Aggression Feature: False
Attack Feature: None
Defense Feature: 2
",
10,2,9.0,Worker and Heavy,True,Unit,,"## Strategy
Economic Feature: 2
Barracks Feature: resource >= 9
Military Feature: Worker and Heavy
Aggression Feature: True
Attack Feature: Unit
Defense Feature: None
",
