index,economic,barracks,military,aggression,attack,defense,strategy,description
1,2,8,Heavy and Light and Worker,True,Base > Barracks > Worker,,"## Strategy
- Economic Feature: 2
- Barracks Feature: resource >= 8
- Military Feature: Heavy and Light and Worker
- Aggression Feature: True
- Attack Feature: Base > Barracks > Worker
- Defense Feature: None

","## Description
You should:
- Allocate two workers for mineral harvesting to support ongoing economic growth.
- Construct barracks once resources exceed 8.
- Keep producing a balanced mix of heavy, light, and worker units. More units are better.
- Only produce heavy, light, and worker units.
- Prioritize attacking enemy bases first, followed by barracks, and then workers.
- Use a combination of heavy and light units for their different strengths in combat, and workers to support and potentially repair.
- Send both heavy, light, and worker units to attack, rather than just using a single type.
- Omit designated defense areas; focus on offensive actions.

You should not:
- Do not build additional barracks.
- Do not produce any other units.
- Do not plan deploy tasks.
- Do not engage in defensive strategies. Focus on attacking."
2,1,False,Worker,True,Worker,,"## Strategy
- Economic Feature: 1
- Barracks Feature: False
- Military Feature: Worker
- Aggression Feature: True
- Attack Feature: Worker
- Defense Feature: None

","## Description
You should:
- Allocate one worker for mineral harvesting to support ongoing economic growth.
- Do not construct barracks, as this strategy does not require advanced units.
- Keep producing workers to increase your army size.
- Only produce worker units.
- Prioritize attacking enemy worker units.
- Send all workers to attack, rather than just using a single type.
- Omit designated defense areas; do not deploy units, just go attacking.

You should not:
- Do not build additional barracks.
- Do not produce any other units.
- Do not plan deploy tasks.
- Do not focus on defending specific areas."
3,1,9,Ranged and Worker,True,Base > Barracks > Worker,,"## Strategy
- Economic Feature: 1
- Barracks Feature: resource >= 9
- Military Feature: Ranged and Worker
- Aggression Feature: True
- Attack Feature: Base > Barracks > Worker
- Defense Feature: None

","## Description
You should:
- Allocate one worker for mineral harvesting to support ongoing economic growth.
- Construct barracks once resources exceed 9.
- Keep producing your military (ranged and worker) more units is better.
- Only produce ranged and worker units.
- Prioritize attacking enemy bases, then barracks, and finally workers.
- Send both workers and ranged units to attack, rather than just using a single type.
- Omit designated defense areas; do not deploy units, just go attacking.

You should not:
- Do not build additional barracks.
- Do not produce any other units.
- Do not plan deploy task."
4,2,7,Heavy and Worker,True,Heavy > Worker,,"## Strategy
- Economic Feature: 2
- Barracks Feature: resource >= 7
- Military Feature: Heavy and Worker
- Aggression Feature: True
- Attack Feature: Heavy > Worker
- Defense Feature: None

","## Description
You should:
- Allocate two workers for mineral harvesting to support ongoing economic growth.
- Construct barracks once resources exceed 7.
- Keep producing your military (heavy and worker) more units is better.
- Only produce heavy and worker units.
- Prioritize attacking enemy heavy units over workers.
- Send both workers and heavy units to attack, rather than just using a single type.
- Omit designated defense areas; do not deploy units, just go attacking.

You should not:
- Do not build additional barracks.
- Do not produce any other units.
- Do not plan deploy task."
5,2,10,Ranged and Light and Worker,True,Ranged > Light > Worker,,"## Strategy
- Economic Feature: 2
- Barracks Feature: resource >= 10
- Military Feature: Ranged and Light and Worker
- Aggression Feature: True
- Attack Feature: Ranged > Light > Worker
- Defense Feature: None

","## Description
You should:
- Allocate two workers for mineral harvesting to support ongoing economic growth.
- Construct barracks once resources exceed 10.
- Keep producing a balanced military force consisting of ranged, light, and worker units.
- Prioritize attacking enemy ranged units first, followed by light units, and then workers.
- Send a mix of workers, light units, and ranged units to attack, ensuring a versatile and effective offensive force.
- Focus on aggressive play and do not designate specific defense areas; prioritize offensive actions.

You should not:
- Do not build additional barracks.
- Do not produce any other units.
- Do not plan for defensive deployments.
- Do not waste resources on unnecessary units or upgrades."
6,2,5,Heavy and Worker,False,,"[[1, 1], [4, 4]]","## Strategy
- Economic Feature: 2
- Barracks Feature: resource >= 5
- Military Feature: Heavy and Worker
- Aggression Feature: False
- Attack Feature: None
- Defense Feature: (1, 1), (4, 4)

","## Description
You should:
- Allocate two workers for mineral harvesting to support ongoing economic growth.
- Construct barracks once resources exceed 5.
- Keep producing your military (heavy and worker) more units is better.
- Only produce heavy and worker units.
- Deploy both workers and heavy units to the defense area, rather than just using a single type.
- Deploy the military to the area between the upper left corner (1,1) and the lower right corner (4,4).

You should not:
- Do not build additional barracks.
- Do not produce any other units.
- Do not actively attack in the early stage. Focus on defense and maintaining a strong presence in the designated area."
7,2,8,Light and Worker,False,,"[[1, 1], [3, 3]]","## Strategy
- Economic Feature: 2
- Barracks Feature: resource >= 8
- Military Feature: Light and Worker
- Aggression Feature: False
- Attack Feature: None
- Defense Feature: (1, 1), (3, 3)

","## Description
You should:
- Allocate two workers for mineral harvesting to support ongoing economic growth.
- Construct barracks once resources exceed 8.
- Keep producing your military (light and worker) more units is better.
- Only produce light and worker units.
- Deploy both workers and light units to defense areas, rather than just using a single type.
- Deploy the military to the area between the upper left corner (1,1) and the lower right corner (3,3).

You should not:
- Do not build additional barracks.
- Do not produce any other units.
- Do not actively attack in the early stage. Focus on defending your base and resources."
8,2,5,Ranged and Worker,True,Base > Barracks > Worker,,"## Strategy
- Economic Feature: 2
- Barracks Feature: resource >= 5
- Military Feature: Ranged and Worker
- Aggression Feature: True
- Attack Feature: Base > Barracks > Worker
- Defense Feature: None

","## Description
You should:
- Allocate two workers for mineral harvesting to support ongoing economic growth.
- Construct barracks once resources exceed 5.
- Keep producing your military (ranged and worker) more units is better.
- Only produce ranged and worker units.
- Prioritize attacking enemy bases, followed by barracks, and then workers.
- Send both workers and ranged units to attack, rather than just using a single type.
- Focus on early aggression to disrupt the enemy's economy and base structures.

You should not:
- Do not build additional barracks.
- Do not produce any other units.
- Do not plan for designated defense areas; focus on attacking."
9,2,5,Light and Worker,True,Light > Worker,,"## Strategy
- Economic Feature: 2
- Barracks Feature: resource >= 5
- Military Feature: Light and Worker
- Aggression Feature: True
- Attack Feature: Light > Worker
- Defense Feature: None

","## Description
You should:
- Allocate two workers for mineral harvesting to support ongoing economic growth.
- Construct barracks once resources exceed 5.
- Keep producing your military (light and worker) more units is better.
- Only produce light and worker units.
- Prioritize attacking enemy light units over workers.
- Send both workers and light units to attack, rather than just using a single type.
- Focus on early aggression to disrupt the enemy's economy and military build-up.

You should not:
- Do not build additional barracks.
- Do not produce any other units.
- Do not plan defense areas; focus on attacking the enemy."
10,2,9,Ranged and Worker,False,,"[[1, 1], [2, 2]]","## Strategy
- Economic Feature: 2
- Barracks Feature: resource >= 9
- Military Feature: Ranged and Worker
- Aggression Feature: False
- Attack Feature: None
- Defense Feature: (1, 1), (2, 2)

","## Description
You should:
- Allocate two workers for mineral harvesting to support ongoing economic growth.
- Construct barracks once resources exceed 9.
- Keep producing your military (ranged and worker) more units is better.
- Only produce ranged and worker units.
- Deploy both workers and ranged units to the defense area, which is between the upper left corner (1,1) and the lower right corner (2,2).
- Focus on defending this area to protect your base and resources.

You should not:
- Do not build additional barracks.
- Do not produce any other units.
- Do not actively attack the enemy in the early stage.
- Avoid spreading your units thinly; concentrate them in the designated defense area."
